WARD_SECTION,WARD,SECTION,MONTH_NAME,MONTH_NUMBER,DATES
0101,01,01,APRIL,4,"4,5"
0101,01,01,MAY,5,"2,3"
0101,01,01,JUNE,6,"6,7"
0101,01,01,JULY,7,5
0101,01,01,AUGUST,8,"1,2"
0101,01,01,SEPTEMBER,9,"5,6"
0101,01,01,OCTOBER,10,"3,4"
0101,01,01,NOVEMBER,11,"1,7"
0102,01,02,APRIL,4,"6,7"
0102,01,02,MAY,5,"4,5"
0102,01,02,JUNE,6,"1,2"
0102,01,02,JULY,7,"6,7"
0102,01,02,AUGUST,8,"3,4"
0102,01,02,SEPTEMBER,9,"1,7"
0102,01,02,OCTOBER,10,"5,6"
0102,01,02,NOVEMBER,11,"2,3"
0103,01,03,APRIL,4,"11,12"
0103,01,03,MAY,5,"9,10"
0103,01,03,JUNE,6,"13,14"
0103,01,03,JULY,7,"11,12"
0103,01,03,AUGUST,8,"8,9"
0103,01,03,SEPTEMBER,9,"12,13"
0103,01,03,OCTOBER,10,"10,11"
0103,01,03,NOVEMBER,11,"8,14"
0104,01,04,APRIL,4,"13,14"
0104,01,04,MAY,5,"11,12"
0104,01,04,JUNE,6,"8,9"
0104,01,04,JULY,7,"13,14"
0104,01,04,AUGUST,8,"10,11"
0104,01,04,SEPTEMBER,9,"8,14"
0104,01,04,OCTOBER,10,"12,13"
0104,01,04,NOVEMBER,11,"9,10"
0105,01,05,APRIL,4,"18,19"
0105,01,05,MAY,5,"16,17"
0105,01,05,JUNE,6,"20,21"
0105,01,05,JULY,7,"18,19"
0105,01,05,AUGUST,8,"15,16"
0105,01,05,SEPTEMBER,9,"19,20"
0105,01,05,OCTOBER,10,"17,18"
0105,01,05,NOVEMBER,11,15
0106,01,06,APRIL,4,"20,21"
0106,01,06,MAY,5,"18,19"
0106,01,06,JUNE,6,"15,16"
0106,01,06,JULY,7,"20,21"
0106,01,06,AUGUST,8,"17,18"
0106,01,06,SEPTEMBER,9,"15,21"
0106,01,06,OCTOBER,10,"19,20"
0106,01,06,NOVEMBER,11,"16,17"
0107,01,07,APRIL,4,"25,26"
0107,01,07,MAY,5,"23,24"
0107,01,07,JUNE,6,"27,28"
0107,01,07,JULY,7,"25,26"
0107,01,07,AUGUST,8,"22,23"
